2025-12-30 23:12:05,078 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 10, 'acc': 0.9833333333333333, 'nmi': 0.928950368218712, 'ari': 0.9674597766683818, 'pur': 0.9833333333333333}
2025-12-30 23:12:11,396 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 20, 'acc': 0.9833333333333333, 'nmi': 0.928950368218712, 'ari': 0.9674597766683818, 'pur': 0.9833333333333333}
2025-12-30 23:12:17,812 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 30, 'acc': 1.0, 'nmi': 0.9999999848138554, 'ari': 1.0, 'pur': 1.0}
2025-12-30 23:12:24,095 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 40, 'acc': 0.975, 'nmi': 0.9037232430077655, 'ari': 0.9512746164698043, 'pur': 0.975}
2025-12-30 23:12:30,366 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 50, 'acc': 0.975, 'nmi': 0.9037232430077655, 'ari': 0.9512746164698043, 'pur': 0.975}
2025-12-30 23:12:36,870 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 60, 'acc': 0.9666666666666667, 'nmi': 0.8824401504253818, 'ari': 0.9355882077938269, 'pur': 0.9666666666666667}
2025-12-30 23:12:43,187 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 70, 'acc': 0.9833333333333333, 'nmi': 0.9389020946899713, 'ari': 0.9666693863521553, 'pur': 0.9833333333333333}
2025-12-30 23:12:49,400 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 80, 'acc': 0.9666666666666667, 'nmi': 0.8824822160171321, 'ari': 0.9355337356120655, 'pur': 0.9666666666666667}
2025-12-30 23:12:55,914 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 90, 'acc': 0.9833333333333333, 'nmi': 0.928950368218712, 'ari': 0.967459324155194, 'pur': 0.9833333333333333}
2025-12-30 23:13:02,147 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 100, 'acc': 0.9833333333333333, 'nmi': 0.9389020946899713, 'ari': 0.9666693863521553, 'pur': 0.9833333333333333}
2025-12-30 23:13:08,322 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 110, 'acc': 0.9666666666666667, 'nmi': 0.8824822160171321, 'ari': 0.9355337356120655, 'pur': 0.9666666666666667}
2025-12-30 23:13:14,969 - D:\BaiduSyncdisk\MvAE-ContrastExperiment\A-HaveDone\MvAE(ours)\GMAE-Github\classification.py - INFO - {'epoch': 120, 'acc': 0.975, 'nmi': 0.9175592367766832, 'ari': 0.9507250896616248, 'pur': 0.975}
